地区,现有,累计,治愈,死亡,新增
上海,6969,13281,6305,7,998
台湾,14070,28666,13742,854,626
吉林,12776,38068,25287,5,171
香港,240537,308594,59230,8827,168
海南,72,266,188,6,21
江苏,111,2104,1993,0,14
浙江,553,2839,2285,1,12
福建,270,2921,2650,1,7
四川,113,1965,1849,3,7
广西,72,1527,1453,2,5
河南,24,2844,2798,22,4
北京,70,1826,1747,9,4
山东,218,2651,2426,7,3
江西,20,1067,1046,1,2
湖北,4,68393,63877,4512,1
黑龙江,127,2506,2366,13,1
云南,26,2082,2054,2,1
内蒙古,8,1688,1679,1,1
辽宁,69,1606,1535,2,1
重庆,4,693,683,6,0
山西,48,352,304,0,0
陕西,35,3254,3216,3,0
河北,57,1981,1917,7,0
天津,15,1798,1780,3,0
湖南,17,1335,1314,4,0
安徽,24,1055,1025,6,0
新疆,0,999,996,3,0
甘肃,2,681,677,2,0
贵州,5,178,171,2,0
宁夏,0,122,122,0,0
澳门,0,82,82,0,0
青海,11,43,32,0,0
西藏,0,1,1,0,0
广东,174,6731,6549,8,0
